ticker,oldest_date,Name_,IncInDt,LastName,FirstName,URL
ACSI,2016-11-01,,,,,
ACST,2013-01-09,,,,,
ACT,2017-12-13,Aduro Clean Technologies Inc,2018-01-10 00:00:00.000,Vicus,Ofer,https://adurocleantech.com/
ACT,2017-12-13,Enact Holdings Inc,2012-12-12 00:00:00.000,Gupta,Rohit,https://enactmi.com/
ACTG,2007-08-20,Acacia Research Corp,1999-10-08 00:00:00.000,Mcnulty,Martin,https://acaciaresearch.com/
ACTINVRB,,Corporacion Actinver SAB de CV,,Madero Rivero,Hector,https://www.actinver.com
ACTL,,Artec Global Media Inc,2012-08-06 00:00:00.000,Honeycutt,Timothy,http://www.artecglobalmedia.com/
ACTU,2024-08-13,Actuate Therapeutics Inc,2015-01-16 00:00:00.000,Schmitt,Daniel,https://actuatetherapeutics.com/
ACTV,2020-10-27,,,,,
ACTX,,Advanced Container Technologies Inc,1997-09-05 00:00:00.000,Fairbrother,Curtis,https://advancedcontainertechnologies.com/
ACU,2007-01-03,Acme United Corp,,Olschan,Brian,https://www.acmeunited.com/
ACU,2007-01-03,Aurora Solar Technologies Inc,2006-10-26 00:00:00.000,Dodds,Kevin,https://aurorasolartech.com/
ACUR,,Acura Pharmaceuticals Inc,1935-04-10 00:00:00.000,Jones,Robert,http://acurapharm.com/
ACUS,,Acusphere Inc,1993-07-12 00:00:00.000,Leuchtenberger,Mark,http://www.acusphere.com
ACUT,,AccuStem Sciences Inc,2021-07-28 00:00:00.000,Blosser,Wendy,https://accustem.com/
ACV,2015-05-22,Virtus Diversified Income & Convrtble Fd,2015-03-10 00:00:00.000,Fuccillo,Thomas,http://us.allianzgi.com
ACVA,2021-03-24,ACV Auctions Inc,2014-12-30 00:00:00.000,Chamoun,George,https://www.acvauctions.com/
ACVF,2020-10-29,,,,,
ACWI,2008-03-31,,,,,
ACWV,2011-10-21,,,,,
ACWX,2008-04-01,,,,,
ACX,,ACT Energy Technologies Ltd,2009-12-18 00:00:00.000,Maxwell,Roderick,https://www.cathedralenergyservices.com/
ACXP,2021-06-25,Acurx Pharmaceuticals Inc,2017-07-19 00:00:00.000,Deluccia,Robert,https://www.acurxpharma.com/
AD.UN,,Alaris Equity Partners Income Trust,2020-09-01 00:00:00.000,Lee,Jack,https://www.alarisequitypartners.com/
ADAD,,Huaizhong Health Group Inc,2013-09-12 00:00:00.000,Wang,Yuantong,https://adaiahdistribution.com/
ADAG,2021-02-09,Adagene Inc (ADR),2011-02-01 00:00:00.000,Man Kin,Tam,https://www.adagene.com/
ADAP,2015-05-06,Adaptimmune Therapeutics PLC - ADR,2014-12-03 00:00:00.000,Rawcliffe,Adrian,https://www.adaptimmune.com/
ADBE,2007-08-20,Adobe Inc,1997-05-09 00:00:00.000,Narayen,Shantanu,https://www.adobe.com/
ADC,2007-08-20,Agree Realty Corporation,1982-08-05 00:00:00.000,Agree,Joel,https://agreerealty.com/
ADC.A,2021-09-21,,,,,
ADCO,,Adcore Inc,2017-10-11 00:00:00.000,Brill,Omri,https://www.adcore.com/
ADCOMEC1,,Administradora del Comercio SA,1967-01-27 00:00:00.000,Valdivia Moron,Jose Angel,http://www.adcomercio.com.pe/
ADCT,2020-05-15,ADC Therapeutics SA,2011-06-06 00:00:00.000,Mallik,Ameet,https://adctherapeutics.com/
ADD,2022-11-01,Arctic Star Exploration Corp,2017-07-31 00:00:00.000,Doyle,Buddy,https://www.arcticstar.ca/
ADD,2022-11-01,Color Star Technology Co Ltd,,Liu,Yang,https://colorstarinternational.com/
ADDYY,,Adidas AG - ADR,,Rabe,Thomas,https://www.adidas-group.com/
ADDYY,,Adidas AG - ADR,1989-04-18 00:00:00.000,Gallienne,Ian,https://www.adidas-group.com/
ADE,,Adex Mining Inc,1992-12-31 00:00:00.000,Lam,Kwan,http://www.adexmining.com/
ADEA,2022-10-03,Adeia Inc,2019-12-17 00:00:00.000,Davis,Paul,https://adeia.com/
ADEN,,ADENTRA Inc,2012-01-01 00:00:00.000,Brown,Robert,https://adentragroup.com/
ADFI,2020-08-18,,,,,
ADFS,,American Defense Systems Inc,2002-12-06 00:00:00.000,Scales,Dale,https://www.americandefensesystems.com/
ADG.H,,Arcus Development Group Inc.,2006-06-06 00:00:00.000,Gray,James,https://www.arcusdevelopmentgroup.com/
ADGL,,AllDigital Holdings Inc,2006-08-04 00:00:00.000,Kaplan,Philip,http://www.alldigital.com/
ADGM,2024-08-01,Adagio Medical Holdings Inc,2023-12-19 00:00:00.000,Bergheim,Olav,http://www.perceptivelife.com/arya4/
ADGO,,Advantego Corp,1988-07-21 00:00:00.000,Ferguson,Robert,https://www.advantego.com/
ADHC,,American Diversified Holdings Corp,2001-03-21 00:00:00.000,Jimenez,Jacinto,http://americandiversifiedholding.com/
ADHI,,Arsenal Digital Holdings Inc,2003-06-10 00:00:00.000,Frater,J. Douglas,https://globalgreensolutionsinc.com/
ADI,2007-08-20,"Analog Devices, Inc.",1965-01-18 00:00:00.000,Roche,Vincent,https://www.analog.com/
ADIL,2018-07-27,Adial Pharmaceuticals Inc,2017-10-05 00:00:00.000,Goodman,Tony,https://www.adialpharma.com/
ADIV,2021-03-29,,,,,
ADK,,Diagnos Inc,1996-04-11 00:00:00.000,Duhamel,Vincent,https://www.diagnos.com/
ADM,2007-08-20,Archer-Daniels-Midland Co,1923-05-02 00:00:00.000,Luciano,Juan,https://www.adm.com/
